date,tournament,team1,team2,picks1,picks2,bans1,bans2,winner
2025-03-09,AOG Spring 2025 GS1,TDT,1S,"Airi,Marja,Yue,Violet,TeeMee","Qi,Bolt Baron,Kahlii,Tel'Annas,Baldum","Valhein,Rouie,Omen,Iggy","Billow,Maloch,Ryoma,Eland'orr",1S
2025-03-09,AOG Spring 2025 GS1,TDT,1S,"Florentino,Murad,Liliana,Bright,Roxie","Biron,Ryoma,Dolia,Capheny,Maloch","Valhein,Rouie,Qi,Omen","Marja,Billow,Eland'orr,Fennik",1S
2025-03-09,AOG Spring 2025 GS1,TDT,1S,"Riktor,Keera,Iggy,Hayate,Enzo","Marja,Nakroth,Raz,Stuart,Ming","Rouie,Valhein,Omen,Capheny","TeeMee,Maloch,Qi,Ryoma",TDT
2025-03-09,AOG Spring 2025 GS1,TDT,1S,"Skud,Zuka,Raz,Valhein,Thane","Yena,Aoi,Tulen,Fennik,Y'bneth","Maloch,Rouie,Omen,Qi","TeeMee,Marja,Zip,Ming",1S
2025-03-09,AOG Spring 2025 GS1,TDT,1S,"Yena,Bolt Baron,Rouie,Stuart,Arduin","Florentino,Billow,Ignis,Violet,TeeMee","Maloch,Eland'orr,Raz,Qi","Marja,Valhein,Omen,Toro",TDT
2025-03-09,GCS 2025 Spring GS,HKA,ANK,"Billow,Ryoma,Ignis,Capheny,TeeMee","Biron,Eland'orr,Iggy,Qi,Thane","Rouie,Aoi,Elsu,Fennik","Bolt Baron,Maloch,Airi,Raz",HKA
2025-03-09,GCS 2025 Spring GS,HKA,ANK,"Omen,Eland'orr,Liliana,Fennik,Thane","Marja,Zuka,Yue,Valhein,Toro","Bolt Baron,Rouie,Mina,Ming","Maloch,TeeMee,Qi,Billow",HKA
2025-03-09,GCS 2025 Spring GS,HKA,ANK,"Florentino,Aoi,Iggy,Valhein,Toro","Ryoma,Keera,Ignis,Stuart,Omega","Marja,Maloch,Omen,Qi","Bolt Baron,TeeMee,Enzo,Skud",ANK
2025-03-09,GCS 2025 Spring GS,HKA,ANK,"Marja,Wonder Woman,Rouie,Stuart,Omega","Murad,Billow,Raz,Skud,Enzo","Bolt Baron,Valhein,Hayate,Qi","Maloch,TeeMee,Omen,Toro",HKA
2025-03-09,RPL 2025 Summer - GS,TLN,BRU,"Murad,Nakroth,Iggy,Violet,Aya","Mina,Fennik,Rouie,Hayate,Enzo","Valhein,Florentino,Omen,Qi","Billow,Marja,TeeMee,Ming",BRU
2025-03-09,RPL 2025 Summer - GS,TLN,BRU,"Skud,Aoi,Liliana,Stuart,Dolia","Charlotte,Keera,Diao Chan,Violet,TeeMee","Valhein,Bolt Baron,Qi,Omen","Billow,Marja,Florentino,Raz",BRU
2025-03-09,RPL 2025 Summer - GS,TLN,BRU,"Riktor,Keera,Rouie,Hayate,Roxie","Yena,Aoi,Maloch,Stuart,Aleister","Eland'orr,TeeMee,Alice,Florentino","Valhein,Marja,Arduin,Skud",BRU
2025-03-09,RPL 2025 Summer - GS,TLN,BRU,"Qi,Bolt Baron,Diao Chan,Capheny,Enzo","Ryoma,Yan,Liliana,Marja,Arduin","Valhein,Eland'orr,Stuart,Hayate","Billow,Rouie,Omen,Raz",TLN
2025-03-09,RPL 2025 Summer - GS,TLN,BRU,"Yena,Eland'orr,Natalya,Maloch,Alice","Roxie,Billow,Raz,Capheny,Dolia","Hayate,Murad,Ryoma,Zata","Marja,Valhein,Stuart,Qi",TLN
2025-03-08,AOG Spring 2025 GS1,BSS,BOX,"Ryoma,Aoi,Rouie,Fennik,Arduin","Qi,Marja,Liliana,Capheny,TeeMee","Valhein,Raz,Keera,Florentino","Bolt Baron,Billow,Stuart,Murad",BOX
2025-03-08,AOG Spring 2025 GS1,BSS,BOX,"Qi,Eland'orr,Tulen,Valhein,Roxie","Mina,Billow,Maloch,Fennik,Alice","Raz,Enzo,Dolia,Florentino","Bolt Baron,Marja,Zip,Liliana",BOX
2025-03-08,AOG Spring 2025 GS1,BSS,BOX,"Florentino,Zill,Raz,Hayate,Enzo","Bolt Baron,Eland'orr,Tulen,Stuart,Arduin","Valhein,TeeMee,Rouie,Liliana","Maloch,Marja,Billow,Murad",BOX
2025-03-08,RPL 2025 Summer - GS,HD,PSG,"Qi,Marja,Yue,Fennik,Enzo","Riktor,Billow,Zata,Hayate,Toro","Valhein,Rouie,Xeniel,TeeMee","Maloch,Eland'orr,Murad,Omen",HD
2025-03-08,RPL 2025 Summer - GS,HD,PSG,"Ryoma,Keera,Ignis,Violet,Toro","Yena,Marja,Natalya,Capheny,Grakk","Rouie,Valhein,TeeMee,Raz","Dolia,Enzo,Qi,Murad",HD
2025-03-08,RPL 2025 Summer - GS,HD,PSG,"Riktor,Bolt Baron,Tulen,Hayate,TeeMee","Omen,Aoi,Iggy,Violet,Ming","Billow,Rouie,Eland'orr,Marja","Maloch,Valhein,Murad,Florentino",HD
2025-03-08,RPL 2025 Summer - GS,HD,PSG,"Yena,Billow,Raz,Stuart,Roxie","Skud,Bolt Baron,Maloch,Fennik,Dolia","Rouie,Marja,Hayate,Florentino","Valhein,Eland'orr,Kil'Groth,Enzo",PSG
2025-03-08,GCS 2025 Spring GS,FW,ANK,"Florentino,Eland'orr,Iggy,Elsu,Roxie","Airi,Bright,Krixi,Slimz,Maloch","Valhein,Keera,Zuka,Hayate","Bolt Baron,TeeMee,Billow,Thane",FW
